genero,contagem
dark r&b,8
r&b,8
afro r&b,6
afrobeats,6
afrobeat,6
alté,4
rap,4
afroswing,4
kizomba,4
kuduro,3
portuguese hip hop,3
melodic rap,3
afropop,3
french r&b,3
trap soul,3
punta,2
alternative r&b,2
afro soul,2
uk r&b,2
zouk,2
afropiano,1
azonto,1
uk drill,1
afro house,1
grime,1
uk grime,1
drill,1
shatta,1
french rap,1
pop urbaine,1
kompa,1
bedroom pop,1
