genero,contagem
portuguese hip hop,11
garage rock,3
post-punk,3
indie rock,2
indie,2
rock,2
alternative rock,2
funk rock,1
indie soul,1
blues rock,1
modern blues,1
soul,1
reggae,1
roots reggae,1
art rock,1
punta,1
fado,1
punk,1
pop punk,1
