genero,contagem
rock,15
alternative rock,5
classic rock,5
hard rock,4
glam metal,4
grunge,3
britpop,3
fado,2
portuguese hip hop,2
post-grunge,2
punk,2
rap metal,1
nu metal,1
metal,1
rock and roll,1
jangle pop,1
alternative metal,1
skate punk,1
pop,1
funk rock,1
pop punk,1
heavy metal,1
thrash metal,1
soft pop,1
dance,1
glam rock,1
edm,1
new wave,1
synthpop,1
brazilian rock,1
shoegaze,1
soft rock,1
madchester,1
tropical house,1
aor,1
