genero,contagem
portuguese hip hop,17
rock,9
rap,4
punta,3
glam metal,3
hard rock,3
classic rock,3
hip hop,2
indie,2
kizomba,2
fado,2
uk drill,1
drill,1
garage rock,1
nu metal,1
alternative metal,1
rap metal,1
alternative rock,1
funk rock,1
uk grime,1
grime,1
rock and roll,1
post-punk,1
grunge,1
edm,1
glam rock,1
brazilian hip hop,1
mpb,1
brazilian rock,1
brazilian pop,1
zouk,1
east coast hip hop,1
soft pop,1
